timeline_id,event_id,event_scope_locked,time_nodes_complete,chronology_basis_clear,parent_child_deduplicated,capital_basis_clear,original_vs_calculated_separated,shareholder_direction_consistent,evidence_traceable,double_pages_complete,stage_boundary_respected,manual_review_items_listed,overall_check_status,reviewer,review_date,review_note
TL-001,CE-001,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-002,CE-002-01,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-003,CE-002-02,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-004,CE-003,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-005,CE-004,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-006,CE-005,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（CE-005差异已列入RV-001）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收；原文增资额与前后注册资本的0.00574万元差异不在本阶段修正，转入阶段七校验。
TL-007,CE-006,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-008,CE-007,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-009,CE-008,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-010,CE-009,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-011,CE-010-01,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（复合事件排序边界已列入RV-002）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-012,CE-010-02,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（复合事件排序边界已列入RV-002）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-013,CE-010-03,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（复合事件排序边界已列入RV-002）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-014,CE-011,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-015,CE-012,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（无新增待复核事项）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-016,CE-013-01,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（同月排序边界已列入RV-003）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
TL-017,CE-013-02,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过（同月排序边界已列入RV-003）,已验收通过,用户回传确认,2026-07-17,阶段五时间线结构已验收通过。
